Year,MeanTemp,EnergyConsump,CO2
1965,-0.11,3703.4,320.0441667
1966,-0.06,3904.3,321.3833333
1967,-0.02,4052.1,322.1575
1968,-0.08,4298,323.045
1969,0.06,4591.1,324.6241667
1970,0.03,4876.1,325.68
1971,-0.08,5080.9,326.32
1972,0.01,5354.6,327.4533333
1973,0.16,5662.7,329.6766667
1974,-0.07,5689.9,330.1841667
1975,-0.01,5719.6,331.1133333
1976,-0.1,6030.8,332.04
1977,0.18,6245.1,333.8316667
1978,0.07,6459.7,335.4033333
1979,0.16,6684.2,336.8416667
1980,0.26,6635.5,338.7516667
1981,0.32,6598.4,340.105
1982,0.14,6570.4,341.4475
1983,0.31,6674.5,343.0541667
1984,0.16,6989.8,344.6508333
1985,0.12,7154.1,346.1158333
1986,0.18,7311.5,347.4208333
1987,0.32,7568.2,349.1941667
1988,0.39,7852.3,351.5666667
1989,0.27,8008.2,353.1208333
1990,0.45,8115.5,354.3941667
1991,0.4,8168.4,355.6075
1992,0.22,8223.9,356.4458333
1993,0.23,8286.3,357.1
1994,0.31,8395.7,358.8333333
1995,0.45,8565.8,360.82
1996,0.33,8821.3,362.6066667
1997,0.47,8912.3,363.7291667
1998,0.61,8965.7,366.7
1999,0.39,9128.6,368.3775
2000,0.4,9357,369.5491667
2001,0.54,9462.5,371.1425
2002,0.63,9676.5,373.2791667
2003,0.62,10031.6,375.8025
2004,0.54,10524.1,377.5225
2005,0.68,10887.9,379.7958333
2006,0.64,11205.8,381.8958333
2007,0.66,11561.9,383.7916667
2008,0.54,11705.1,385.6041667
2009,0.66,11540.3,387.43
2010,0.73,12099.9,389.8991667
2011,0.61,12403.7,391.6525
2012,0.64,12575.5,393.8533333
2013,0.69,12819.4,396.52
2014,0.75,12939.8,398.6475
2015,0.9,13045.6,400.8341667
2016,1.02,13228.6,404.2391667
2017,0.92,13474.6,406.5533333
2018,0.85,13864.9,408.5208333
